,title,year,length,budget,rating,votes,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,Action,Animation,Comedy,Drama,Documentary,Romance,Short
0,#Horror,0.9805825242718456,0.24688279301745633,5.353214496019141e-05,0.24719101123595505,0.000816576215002768,0.25925925925925924,0.42028985507246375,0.42028985507246375,0.5918367346938775,0.09890109890109891,0.13043478260869565,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,'Crocodile' Dundee II,0.7184466019417464,0.2643391521197007,0.0004999607339270288,0.5056179775280898,0.025295804310642073,0.047619047619047616,0.13043478260869565,0.13043478260869565,0.5918367346938775,0.5384615384615385,0.7101449275362319,0.2439024390243903,0.0,0.047619047619047616,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2,'G' Men,0.2038834951456323,0.20698254364089774,1.6032143486977066e-05,0.696629213483146,0.0012956869313381861,0.047619047619047616,0.13043478260869565,0.13043478260869565,0.18367346938775508,0.09890109890109891,0.42028985507246375,0.7317073170731708,0.2857142857142857,0.047619047619047616,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3,'Gung Ho!': The Story of Carlson's Makin Island Raiders,0.28155339805825363,0.2144638403990025,3.0921358357624795e-05,0.5842696629213484,0.0002934482597107391,0.047619047619047616,0.13043478260869565,0.13043478260869565,0.18367346938775508,0.3186813186813187,0.7101449275362319,0.2439024390243903,0.14285714285714285,0.047619047619047616,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4,'Northwest Passage' (Book I -- Rogers' Rangers),0.2524271844660184,0.3092269326683291,9.559507518409224e-05,0.6853932584269662,0.0011918513932866939,0.047619047619047616,0.13043478260869565,0.13043478260869565,0.18367346938775508,0.09890109890109891,0.42028985507246375,0.4878048780487805,0.2857142857142857,0.047619047619047616,0.11111111111111112,0.0,0.0,0.0,1.0,0.0,1.0,0.0
5,'Til There Was You,0.8058252427184485,0.2768079800498753,3.567500140151791e-05,0.42696629213483145,0.001046820234160425,0.047619047619047616,0.13043478260869565,0.13043478260869565,0.5918367346938775,0.3186813186813187,0.42028985507246375,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
6,(500) Days of Summer,0.9223300970873787,0.23192019950124687,0.00026781786766427333,0.752808988764045,0.22097726171013746,0.047619047619047616,0.13043478260869565,0.13043478260869565,0.18367346938775508,0.09890109890109891,0.13043478260869565,0.4878048780487805,0.42857142857142855,0.15343915343915343,0.11111111111111112,0.0,0.0,1.0,1.0,0.0,1.0,0.0
7,...E tu vivrai nel terrore! L'aldil,0.6504854368932058,0.19950124688279303,1.4246429131109715e-05,0.6629213483146068,0.008520721679562401,0.047619047619047616,0.13043478260869565,0.13043478260869565,0.18367346938775508,0.09890109890109891,0.42028985507246375,0.4878048780487805,0.14285714285714285,0.15343915343915343,0.11111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,.45,0.893203883495147,0.24688279301745633,0.00017853214987090588,0.5280898876404494,0.003905683472034663,0.047619047619047616,0.13043478260869565,0.13043478260869565,0.18367346938775508,0.3186813186813187,0.7101449275362319,0.2439024390243903,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
9,.com for Murder,0.8543689320388346,0.2344139650872818,0.00017853214987090588,0.1910112359550562,0.0008295556572592046,0.48148148148148145,0.42028985507246375,0.13043478260869565,0.18367346938775508,0.09890109890109891,0.13043478260869565,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1 - Nenokkadine,0.9708737864077683,0.4189526184538653,0.0003924607297038144,0.8426966292134832,0.02012321440966393,0.047619047619047616,0.13043478260869565,0.13043478260869565,0.18367346938775508,0.09890109890109891,0.13043478260869565,0.0,0.0,0.15343915343915343,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1 chance sur 2,0.8155339805825257,0.2543640897755611,0.0011428179020392746,0.5393258426966292,0.0007872313890316942,0.047619047619047616,0.13043478260869565,0.13043478260869565,0.18367346938775508,0.3186813186813187,0.7101449275362319,0.2439024390243903,0.0,0.047619047619047616,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
12,10 Cloverfield Lane,0.9902912621359228,0.2543640897755611,0.0005356750210443758,0.7078651685393258,0.09897953367685591,0.047619047619047616,0.13043478260869565,0.13043478260869565,0.18367346938775508,0.09890109890109891,0.42028985507246375,0.7317073170731708,0.2857142857142857,0.15343915343915343,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
