"year","length","budget","rating","votes","r1","r2","r3","r4","r5","r6","r7","r8","r9","r10","Action","Animation","Comedy","Drama","Documentary","Romance","Short","title","cluster"
0.9805825242718456,0.24688279301745633,5.353214496019141E-5,0.24719101123595505,8.16576215002768E-4,0.25925925925925924,0.42028985507246375,0.42028985507246375,0.5918367346938775,0.09890109890109891,0.13043478260869565,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"#Horror","cluster_2"
0.7184466019417464,0.2643391521197007,4.999607339270288E-4,0.5056179775280898,0.025295804310642073,0.047619047619047616,0.13043478260869565,0.13043478260869565,0.5918367346938775,0.5384615384615385,0.7101449275362319,0.2439024390243903,0.0,0.047619047619047616,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,"'Crocodile' Dundee II","cluster_3"
0.2038834951456323,0.20698254364089774,1.6032143486977066E-5,0.696629213483146,0.0012956869313381861,0.047619047619047616,0.13043478260869565,0.13043478260869565,0.18367346938775508,0.09890109890109891,0.42028985507246375,0.7317073170731708,0.2857142857142857,0.047619047619047616,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"'G' Men","cluster_2"
0.28155339805825363,0.2144638403990025,3.0921358357624795E-5,0.5842696629213484,2.934482597107391E-4,0.047619047619047616,0.13043478260869565,0.13043478260869565,0.18367346938775508,0.3186813186813187,0.7101449275362319,0.2439024390243903,0.14285714285714285,0.047619047619047616,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"'Gung Ho!': The Story of Carlson's Makin Island Raiders","cluster_2"
0.2524271844660184,0.3092269326683291,9.559507518409224E-5,0.6853932584269662,0.0011918513932866939,0.047619047619047616,0.13043478260869565,0.13043478260869565,0.18367346938775508,0.09890109890109891,0.42028985507246375,0.4878048780487805,0.2857142857142857,0.047619047619047616,0.11111111111111112,0.0,0.0,0.0,1.0,0.0,1.0,0.0,"'Northwest Passage' (Book I -- Rogers' Rangers)","cluster_1"
0.8058252427184485,0.2768079800498753,3.567500140151791E-5,0.42696629213483145,0.001046820234160425,0.047619047619047616,0.13043478260869565,0.13043478260869565,0.5918367346938775,0.3186813186813187,0.42028985507246375,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,"'Til There Was You","cluster_3"
0.9223300970873787,0.23192019950124687,2.6781786766427333E-4,0.752808988764045,0.22097726171013746,0.047619047619047616,0.13043478260869565,0.13043478260869565,0.18367346938775508,0.09890109890109891,0.13043478260869565,0.4878048780487805,0.42857142857142855,0.15343915343915343,0.11111111111111112,0.0,0.0,1.0,1.0,0.0,1.0,0.0,"(500) Days of Summer","cluster_1"
0.6504854368932058,0.19950124688279303,1.4246429131109715E-5,0.6629213483146068,0.008520721679562401,0.047619047619047616,0.13043478260869565,0.13043478260869565,0.18367346938775508,0.09890109890109891,0.42028985507246375,0.4878048780487805,0.14285714285714285,0.15343915343915343,0.11111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"...E tu vivrai nel terrore! L'aldil","cluster_0"
0.893203883495147,0.24688279301745633,1.7853214987090588E-4,0.5280898876404494,0.003905683472034663,0.047619047619047616,0.13043478260869565,0.13043478260869565,0.18367346938775508,0.3186813186813187,0.7101449275362319,0.2439024390243903,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,".45","cluster_2"
0.8543689320388346,0.2344139650872818,1.7853214987090588E-4,0.1910112359550562,8.295556572592046E-4,0.48148148148148145,0.42028985507246375,0.13043478260869565,0.18367346938775508,0.09890109890109891,0.13043478260869565,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,".com for Murder","cluster_0"
